1675331156531,305
1675331158142,210
1675331158240,187
1675331158342,194
1675331158445,4
1675331158543,208
1675331158646,221
1675331158744,231
1675331158846,245
1675331158945,258
1675331159047,276
1675331159145,288
1675331159248,292
1675331159350,3
1675331159448,330
1675331159551,361
1675331159649,373
1675331159751,395
1675331159850,380
1675331159952,382
1675331160050,382
1675331160153,368
1675331160353,387
1675331160456,417
1675331160554,439
1675331160657,516
1675331160755,488
1675331160857,390
1675331160955,447
1675331161058,605
1675331161259,417
1675331161361,91
1675331161459,372
1675331161562,347
1675331161660,288
1675331161762,262
1675331161861,223
1675331161963,188
1675331162061,170
1675331162164,208
1675331162266,22
1675331162364,229
1675331162467,235
1675331162565,238
1675331162668,214
1675331162766,187
1675331162868,185
1675331162967,188
1675331163069,201
1675331163171,5
1675331163270,229
1675331163372,233
1675331163470,245
1675331163573,263
1675331163671,280
1675331163774,286
1675331163872,300
1675331163974,322
1675331164076,0
1675331164175,362
1675331164277,368
1675331164375,372
1675331164478,378
1675331164576,364
1675331164679,358
1675331164777,363
1675331164879,371
1675331165080,435
1675331165182,430
1675331165281,401
1675331165383,417
1675331165481,382
1675331165584,393
1675331165682,370
1675331165785,311
1675331165883,365
1675331165985,378
1675331166087,61
1675331166186,366
1675331166288,291
1675331166386,281
1675331166489,232
1675331166587,255
1675331166690,240
1675331166788,249
1675331166890,248
1675331166993,5
1675331167091,224
1675331167193,366
1675331167292,206
1675331167394,202
1675331167492,149
1675331167595,106
1675331167693,0
1675331167796,70
1675331167894,10
1675331167996,59
1675331168094,75
1675331168197,93
1675331168295,0
1675331168398,114
1675331168496,151
1675331168598,175
1675331168701,5
1675331168799,224
1675331168901,272
1675331169000,333
1675331169102,376
1675331169200,383
1675331169303,389
1675331169401,414
1675331169503,410
1675331169704,396
1675331169806,11
1675331169905,447
1675331170007,472
1675331170105,489
1675331170208,481
1675331170306,438
1675331170409,419
1675331170507,411
1675331170609,383
1675331170712,73
1675331170810,348
1675331170912,360
1675331171011,342
1675331171113,330
1675331171211,290
1675331171314,283
1675331171412,283
1675331171515,247
1675331171617,2
1675331171715,255
1675331171818,251
1675331171916,229
1675331172018,243
1675331172117,194
1675331172219,170
1675331172317,199
1675331172420,177
1675331172522,7
1675331172620,98
1675331172723,27
1675331172821,159
1675331172923,166
1675331173022,204
1675331173124,204
1675331173222,192
1675331173325,243
1675331173423,294
1675331173526,328
1675331173628,55
1675331173726,358
1675331173829,374
1675331173927,375
1675331174029,379
1675331174128,373
1675331174230,367
1675331174328,386
1675331174431,417
1675331174533,2
1675331174631,411
1675331174734,412
1675331174832,392
1675331174934,376
1675331175033,374
1675331175135,362
1675331175233,348
1675331175336,342
1675331175537,325
1675331175639,306
1675331175737,280
1675331175840,270
1675331175938,262
1675331176040,259
1675331176139,257
1675331176241,265
1675331176442,261
1675331176544,33
1675331176642,226
1675331176745,228
1675331176843,192
1675331176946,215
1675331177044,192
1675331177146,221
1675331177244,215
1675331177347,209
1675331177449,17
1675331177548,231
1675331177650,272
1675331177748,262
1675331177851,303
1675331177949,329
1675331178051,293
1675331178150,326
1675331178252,363
1675331178354,7
1675331178453,361
1675331178555,360
